Sentiment,Expression
4,"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. "
4,"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup"
4,"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! "
4,"@tommcfly ah, congrats mr fletcher for finally joining twitter "
4,"@nileyjileyluver Haha, don't worry! You'll get the hang of it! "
4,"@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting "
4,"Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw "
4,"Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! "
4,"is now followinq @DAChesterFrench , you shud do tha same "
4,"@annabellee dry sweet potato, huh? "
4,"@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!"
4,"@ladygaga Can't wait to see ur hot ass in Austin! woot woot!!! annnd love the bob with purple, i went the royal color way as well "
4,"@QuotableBuffy I got a bunch of Buffy songs too! One of my faves is &quot;Vivian&quot; by Nerf Herder, when Faith met Spike in Buffy's body. "
4,"Morning Tweetland, a long day ahead! Hope everyone has a great day  "
4,"@una_avion2010 Sorrry, I'm doing like 29823782 different things. Kevin Jonas' Girlfriend "
4,"@bodycoach I'll look into that cho, I personally like strawberry but I'm going to become coach soon "
4,"@little__fish guess where i live. the other side of the earth  east mesa, losiento"
4,"Just observed the update look of #Alexa website, http://tinyurl.com/c48gzf , looks great, seems Alexa is improving "
4,"@theragingocean BonJour Spacecowboy,I wish I was either of it .I work with Kids, can go out whenever I want and go wherever I want to "
4,"Just wrote on a toilet wall... but only to correct poor spelling. And in highlighter, so it will wash off. HARDCORE "
4,"Nikki is off working her ass off on a bike, trying to recover from her knee injury.  (Good for her. "
4,"@davidgideon Yeah, those were the days  - no, it's now around 1.47ish..."
4,"@beycah Good for you Becca, have a good sleep. "
4,"@miketomalaris I'm very, very, very excited about the live broadcast of Paris-Roubaix. "
4,"just had a real good moment. i missssssssss him so much, "
4,"@Lou911 Aww, thanks "
4,"Good enough.. time to go sleep off whatever I can, be happier tomorrow ? here's Hopin.. go check my Fb. for what is in store for me now. "
4,"@missvic what do you mean, I do those things now and I'm OLD! "
4,"@PamFR Thanks Pam... glad you enjoyed it. Yes, life is short, it's *now*. No need to struggle... just make better choices every day. "
4,"@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha"
4,"@guykawasaki congrats on 100,000 followers. Wow almost 4 times of what I have "
4,"@enbaldarlingg No, that's just the mirror you're looking in. "
4,"wow that was neat, thanks God! OVERITNOW&lt;3  i apologize for sharing my spiritual moment with the general public of Twitter "
4,"@iamdiddy I hate it too, but I just got back from the trainer. Go! "
4,"working on setting up my ipod touch, which as of today is officially mine!! "
4,"@magopus Hahaha! Well if they ever run out of ideas, I'm nominating you to come up with some good ones. "
4,"@hopeinhell One usually follows the other, no? "
4,"@special72 Thanks, Special 72!  "
4,"Good luck for Lauren and the rest of the cast of TBS, can't wait for something to leak "
4,"Shoot For The Moon! Even if you miss, you'll land among the stars. "
4,"@JohnHays hmm, that I don't agree with entirely because I am most creative &amp; vibrant @ night for some reason...but I need 2 sleep too "
