A,B,C,D,AVERAGE
959,300,871,944,768.5
991,627,86,250,488.5
418,91,750,0,314.75
467,905,625,147,536
18,905,664,365,488
342,940,165,91,384.5
969,678,617,94,589.5
159,760,700,436,513.75
456,465,102,902,481.25
512,366,991,156,506.25
780,247,930,230,546.75
855,574,499,627,638.75
872,396,23,391,420.5
748,130,141,935,488.5
756,438,105,971,567.5
247,84,359,50,185
191,126,247,176,185
236,622,905,990,688.25
901,582,655,696,708.5
22,579,700,310,402.75
65,708,236,251,315
987,233,517,538,568.75
406,,216,499,475
794,98,881,227,500
876,794,5,250,481.25
755,760,347,373,558.75
932,644,26,719,580.25
345,589,903,450,571.75
219,404,937,697,564.25
214,508,326,188,309
140,209,802,789,485
59,687,854,964,641
300,717,415,676,527
553,980,840,753,781.5
663,592,878,399,633
432,118,974,120,411
459,173,915,977,631
557,430,113,118,304.5
354,3,286,515,289.5
392,880,343,748,590.75
185,218,734,636,443.25
674,776,151,282,470.75
511,515,394,926,586.5
600,805,306,55,441.5
225,799,294,573,472.75
14,618,890,676,549.5
444,955,601,592,648
893,931,20,833,669.25
985,44,36,61,281.5
346,59,733,117,313.75
130,869,776,923,674.5
839,20,609,93,390.25
724,499,792,97,528
977,328,742,119,541.5
252,824,150,365,397.75
855,781,439,316,597.75
564,970,551,548,658.25
643,114,930,185,468
174,213,806,523,429
874,11,437,657,494.75
946,699,599,936,795
114,207,408,954,420.75
655,988,96,191,482.5
432,216,245,189,270.5
564,92,77,568,325.25
987,739,470,390,646.5
816,416,423,49,426
120,922,811,916,692.25
507,145,707,729,522
755,366,935,503,639.75
730,158,691,958,634.25
353,234,408,498,373.25
141,279,960,322,425.5
126,958,45,789,479.5
862,159,328,411,440
405,79,453,787,431
312,284,644,995,558.75
215,596,924,765,625
871,768,,70,460
511,808,365,523,551.75
330,642,147,304,355.75
420,640,810,503,593.25
442,728,437,67,418.5
419,310,656,114,374.75
637,189,375,162,340.75
496,195,239,894,456
978,3,687,960,657
673,717,565,453,602
801,473,649,621,636
666,437,285,335,430.75
412,748,801,750,677.75
691,990,770,298,687.25
919,354,837,10,530
996,733,386,965,770
371,138,988,25,380.5
18,215,530,753,379
454,738,171,511,468.5
309,336,927,601,543.25
930,827,615,135,626.75
270,552,215,389,356.5
375,280,779,655,522.25
603,131,556,35,331.25
583,265,727,488,515.75
325,393,329,687,433.5
789,701,889,273,663
685,667,155,52,389.75
995,997,252,847,772.75
723,540,522,637,605.5
256,582,463,864,541.25
102,622,186,262,293
467,213,125,891,424
750,414,322,398,471
664,923,993,303,720.75
426,451,910,530,579.25
378,872,927,344,630.25
368,91,711,508,419.5
667,404,949,525,636.25
585,130,186,92,248.25
483,865,414,823,646.25
585,312,935,804,659
99,204,147,51,125.25
707,251,455,327,435
136,744,318,377,393.75
738,497,643,616,623.5
724,25,949,593,572.75
645,603,709,364,580.25
381,538,842,242,500.75
207,883,966,232,572
583,500,820,33,484
463,31,365,897,439
800,157,642,28,406.75
373,715,342,27,364.25
207,406,12,357,245.5
309,242,833,613,499.25
295,50,557,700,400.5
190,831,230,615,466.5
891,479,522,494,596.5
38,301,607,687,408.25
584,757,485,835,665.25
862,890,159,118,507.25
136,656,16,607,353.75
160,51,51,434,174
558,387,449,178,393
432,411,931,938,678
528,316,303,302,362.25
685,996,619,918,804.5
764,326,99,726,478.75
731,464,233,62,372.5
438,867,85,419,452.25
43,330,32,152,139.25
95,118,654,459,331.5
86,923,798,516,580.75
546,574,503,640,565.75
871,891,549,170,620.25
63,175,596,115,237.25
14,673,308,830,456.25
735,702,167,63,416.75
49,735,197,447,357
668,20,89,100,219.25
447,346,527,415,433.75
678,458,417,103,414
283,428,152,232,273.75
491,210,988,685,593.5
588,257,676,914,608.75
769,557,765,103,548.5
991,689,24,726,607.5
82,955,476,165,419.5
305,346,466,720,459.25
68,479,185,877,402.25
677,509,498,840,631
,222,563,712,406
182,162,996,51,347.75
964,360,725,819,717
856,952,373,600,695.25
208,345,455,681,422.25
875,846,438,375,633.5
478,608,931,223,560
811,245,155,351,390.5
48,991,495,230,441
425,427,52,7,227.75
346,830,596,326,524.5
610,236,969,954,692.25
560,315,265,627,441.75
387,477,951,958,693.25
339,710,619,679,586.75
518,867,301,700,596.5
721,627,149,838,583.75
636,952,117,63,442
363,142,303,542,337.5
342,650,871,235,524.5
949,220,567,791,631.75
418,420,263,325,356.5
977,886,587,276,681.5
613,287,467,186,388.25
321,963,302,999,646.25
981,131,489,382,495.75
258,931,712,839,685
198,573,285,627,420.75
264,45,412,938,414.75
463,347,30,882,430.5
381,659,576,150,441.5
450,23,900,901,568.5
640,370,317,719,511.5
413,646,53,604,429
229,489,922,290,482.5
187,278,483,647,398.75
214,284,927,107,383
595,514,693,777,644.75
775,369,117,944,551.25
124,800,213,731,467
591,695,667,523,619
42,859,761,853,628.75
206,901,954,79,535
841,286,790,995,728
318,473,942,333,516.5
161,999,869,292,580.25
502,319,186,581,397
983,198,623,101,476.25
417,506,451,334,427
705,657,534,218,528.5
347,972,129,676,531
952,336,596,405,572.25
5,608,251,168,258
314,799,825,353,572.75
799,323,149,649,480
444,61,755,784,511
956,693,786,784,804.75
900,126,156,142,331
750,999,874,188,702.75
916,817,5,440,544.5
818,909,843,106,669
72,612,758,985,606.75
783,425,568,679,613.75
155,20,776,807,439.5
33,151,709,814,426.75
822,994,244,153,553.25
295,956,176,315,435.5
494,19,151,225,222.25
960,495,326,726,626.75
323,856,421,824,606
863,204,12,925,501
673,383,856,693,651.25
471,246,200,69,246.5
308,699,41,485,383.25
427,673,134,868,525.5
630,488,666,484,567
442,134,562,485,405.75
673,148,641,491,488.25
700,647,627,188,540.5
278,736,768,203,496.25
120,465,536,312,358.25
702,502,272,619,523.75
841,61,536,419,464.25
772,621,816,934,785.75
259,291,742,743,508.75
864,908,204,269,561.25
204,873,258,741,519
852,924,3,6,446.25
373,296,648,545,465.5
71,30,977,10,272
301,477,264,292,333.5
711,7,81,4,200.75
362,182,71,659,318.5
189,333,269,131,230.5
541,39,567,521,417
167,493,505,381,386.5
937,385,118,623,515.75
197,997,132,624,487.5
61,26,735,725,386.75
71,355,726,940,523
798,397,183,252,407.5
338,802,934,938,753
326,470,461,983,560
287,362,962,194,451.25
879,881,938,738,859
879,945,924,889,909.25
764,509,674,487,608.5
576,935,935,209,663.75
769,62,252,991,518.5
766,217,915,888,696.5
738,196,679,435,512
152,186,201,163,175.5
768,524,734,645,667.75
972,365,532,932,700.25
29,640,564,705,484.5
686,509,772,27,498.5
89,902,414,676,520.25
781,400,571,2,438.5
363,628,284,115,347.5
637,63,804,965,617.25
992,17,276,936,555.25
364,962,673,244,560.75
826,75,22,567,372.5
264,793,788,810,663.75
893,258,139,90,345
666,388,793,339,546.5
621,999,815,506,735.25
65,834,525,705,532.25
432,390,438,862,530.5
163,226,700,785,468.5
786,814,404,321,581.25
470,26,611,183,322.5
130,827,565,952,618.5
801,967,872,998,909.5
689,890,76,16,417.75
762,343,944,852,725.25
307,246,766,46,341.25
506,214,590,291,400.25
185,757,533,856,582.75
766,876,838,226,676.5
500,857,216,62,408.75
450,644,585,806,621.25
750,127,290,283,362.5
618,367,748,599,583
552,272,41,809,418.5
30,910,823,149,478
389,785,740,14,482
446,115,149,687,349.25
650,239,571,410,467.5
422,81,945,344,448
333,247,602,832,503.5
228,840,32,561,415.25
909,200,43,941,523.25
482,488,687,140,449.25
742,214,723,994,668.25
538,509,985,536,642
325,702,56,5,272
579,704,881,184,587
995,30,284,405,428.5
387,375,521,917,550
934,605,701,130,592.5
56,148,413,789,351.5
476,179,210,130,248.75
304,676,288,437,426.25
525,820,401,201,486.75
951,467,999,538,738.75
251,417,495,701,466
739,272,609,412,508
67,499,288,870,431
42,642,275,154,278.25
117,421,324,210,268
500,968,704,324,624
120,625,733,730,552
772,627,625,618,660.5
134,978,660,955,681.75
935,72,516,460,495.75
260,339,944,594,534.25
237,373,809,591,502.5
264,790,220,495,442.25
470,368,383,377,399.5
107,605,266,635,403.25
916,986,523,439,716
602,355,304,582,460.75
216,705,923,932,694
500,805,898,241,611
836,68,399,422,431.25
833,5,82,264,296
859,48,690,933,632.5
940,177,668,361,536.5
630,250,858,149,471.75
846,750,665,761,755.5
657,711,756,60,546
464,172,248,107,247.75
954,13,475,971,603.25
453,875,410,61,449.75
428,687,165,820,525
145,438,691,777,512.75
202,638,482,845,541.75
958,576,359,17,477.5
170,204,302,271,236.75
23,173,822,914,483
975,138,3,934,512.5
767,224,831,918,685
585,736,502,140,490.75
554,663,321,967,626.25
384,933,346,936,649.75
774,238,204,732,487
799,369,707,561,609
781,836,854,87,639.5
323,161,184,445,278.25
791,140,232,312,368.75
172,686,631,723,553
926,63,231,651,467.75
836,589,511,714,662.5
392,233,508,557,422.5
28,873,349,46,324
921,227,162,905,553.75
308,504,448,94,338.5
982,398,600,532,628
928,613,470,366,594.25
749,207,343,415,428.5
348,676,720,344,522
440,654,190,834,529.5
653,789,806,974,805.5
950,932,104,315,575.25
615,823,106,324,467
769,613,205,885,618
353,439,100,653,386.25
173,772,820,321,521.5
578,285,480,528,467.75
686,757,413,526,595.5
293,294,325,265,294.25
348,550,426,606,482.5
989,326,49,732,524
753,903,384,393,608.25
574,235,354,681,461
470,635,859,716,670
520,457,118,608,425.75
761,305,227,396,422.25
486,700,359,370,478.75
326,583,4,140,263.25
427,163,466,269,331.25
598,217,654,906,593.75
797,187,233,46,315.75
723,550,614,346,558.25
572,29,877,44,380.5
634,232,219,589,418.5
970,149,448,860,606.75
840,151,96,7,273.5
183,765,822,733,625.75
762,375,5,70,303
479,592,68,72,302.75
173,636,461,477,436.75
778,34,362,657,457.75
842,985,541,171,634.75
427,980,225,897,632.25
308,143,860,124,358.75
769,751,245,974,684.75
535,628,862,96,530.25
967,327,866,806,741.5
585,173,705,256,429.75
132,938,429,261,440
