A,B,C,D,AVERAGE
959.0,300.0,871.0,944.0,768.5
991.0,627.0,86.0,250.0,488.5
418.0,91.0,750.0,0.0,314.75
467.0,905.0,625.0,147.0,536.0
18.0,905.0,664.0,365.0,488.0
342.0,940.0,165.0,91.0,384.5
969.0,678.0,617.0,94.0,589.5
159.0,760.0,700.0,436.0,513.75
456.0,465.0,102.0,902.0,481.25
512.0,366.0,991.0,156.0,506.25
780.0,247.0,930.0,230.0,546.75
855.0,574.0,499.0,627.0,638.75
872.0,396.0,23.0,391.0,420.5
748.0,130.0,141.0,935.0,488.5
756.0,438.0,105.0,971.0,567.5
247.0,84.0,359.0,50.0,185.0
191.0,126.0,247.0,176.0,185.0
236.0,622.0,905.0,990.0,688.25
901.0,582.0,655.0,696.0,708.5
22.0,579.0,700.0,310.0,402.75
65.0,708.0,236.0,251.0,315.0
987.0,233.0,517.0,538.0,568.75
406.0,779.0,216.0,499.0,475.0
794.0,98.0,881.0,227.0,500.0
876.0,794.0,5.0,250.0,481.25
755.0,760.0,347.0,373.0,558.75
932.0,644.0,26.0,719.0,580.25
345.0,589.0,903.0,450.0,571.75
219.0,404.0,937.0,697.0,564.25
214.0,508.0,326.0,188.0,309.0
140.0,209.0,802.0,789.0,485.0
59.0,687.0,854.0,964.0,641.0
300.0,717.0,415.0,676.0,527.0
553.0,980.0,840.0,753.0,781.5
663.0,592.0,878.0,399.0,633.0
432.0,118.0,974.0,120.0,411.0
459.0,173.0,915.0,977.0,631.0
557.0,430.0,113.0,118.0,304.5
354.0,3.0,286.0,515.0,289.5
392.0,880.0,343.0,748.0,590.75
185.0,218.0,734.0,636.0,443.25
674.0,776.0,151.0,282.0,470.75
511.0,515.0,394.0,926.0,586.5
600.0,805.0,306.0,55.0,441.5
225.0,799.0,294.0,573.0,472.75
14.0,618.0,890.0,676.0,549.5
444.0,955.0,601.0,592.0,648.0
893.0,931.0,20.0,833.0,669.25
985.0,44.0,36.0,61.0,281.5
346.0,59.0,733.0,117.0,313.75
130.0,869.0,776.0,923.0,674.5
839.0,20.0,609.0,93.0,390.25
724.0,499.0,792.0,97.0,528.0
977.0,328.0,742.0,119.0,541.5
252.0,824.0,150.0,365.0,397.75
855.0,781.0,439.0,316.0,597.75
564.0,970.0,551.0,548.0,658.25
643.0,114.0,930.0,185.0,468.0
174.0,213.0,806.0,523.0,429.0
874.0,11.0,437.0,657.0,494.75
946.0,699.0,599.0,936.0,795.0
114.0,207.0,408.0,954.0,420.75
655.0,988.0,96.0,191.0,482.5
432.0,216.0,245.0,189.0,270.5
564.0,92.0,77.0,568.0,325.25
987.0,739.0,470.0,390.0,646.5
816.0,416.0,423.0,49.0,426.0
120.0,922.0,811.0,916.0,692.25
507.0,145.0,707.0,729.0,522.0
755.0,366.0,935.0,503.0,639.75
730.0,158.0,691.0,958.0,634.25
353.0,234.0,408.0,498.0,373.25
141.0,279.0,960.0,322.0,425.5
126.0,958.0,45.0,789.0,479.5
862.0,159.0,328.0,411.0,440.0
405.0,79.0,453.0,787.0,431.0
312.0,284.0,644.0,995.0,558.75
215.0,596.0,924.0,765.0,625.0
871.0,768.0,131.0,70.0,460.0
511.0,808.0,365.0,523.0,551.75
330.0,642.0,147.0,304.0,355.75
420.0,640.0,810.0,503.0,593.25
442.0,728.0,437.0,67.0,418.5
419.0,310.0,656.0,114.0,374.75
637.0,189.0,375.0,162.0,340.75
496.0,195.0,239.0,894.0,456.0
978.0,3.0,687.0,960.0,657.0
673.0,717.0,565.0,453.0,602.0
801.0,473.0,649.0,621.0,636.0
666.0,437.0,285.0,335.0,430.75
412.0,748.0,801.0,750.0,677.75
691.0,990.0,770.0,298.0,687.25
919.0,354.0,837.0,10.0,530.0
996.0,733.0,386.0,965.0,770.0
371.0,138.0,988.0,25.0,380.5
18.0,215.0,530.0,753.0,379.0
454.0,738.0,171.0,511.0,468.5
309.0,336.0,927.0,601.0,543.25
930.0,827.0,615.0,135.0,626.75
270.0,552.0,215.0,389.0,356.5
375.0,280.0,779.0,655.0,522.25
603.0,131.0,556.0,35.0,331.25
583.0,265.0,727.0,488.0,515.75
325.0,393.0,329.0,687.0,433.5
789.0,701.0,889.0,273.0,663.0
685.0,667.0,155.0,52.0,389.75
995.0,997.0,252.0,847.0,772.75
723.0,540.0,522.0,637.0,605.5
256.0,582.0,463.0,864.0,541.25
102.0,622.0,186.0,262.0,293.0
467.0,213.0,125.0,891.0,424.0
750.0,414.0,322.0,398.0,471.0
664.0,923.0,993.0,303.0,720.75
426.0,451.0,910.0,530.0,579.25
378.0,872.0,927.0,344.0,630.25
368.0,91.0,711.0,508.0,419.5
667.0,404.0,949.0,525.0,636.25
585.0,130.0,186.0,92.0,248.25
483.0,865.0,414.0,823.0,646.25
585.0,312.0,935.0,804.0,659.0
99.0,204.0,147.0,51.0,125.25
707.0,251.0,455.0,327.0,435.0
136.0,744.0,318.0,377.0,393.75
738.0,497.0,643.0,616.0,623.5
724.0,25.0,949.0,593.0,572.75
645.0,603.0,709.0,364.0,580.25
381.0,538.0,842.0,242.0,500.75
207.0,883.0,966.0,232.0,572.0
583.0,500.0,820.0,33.0,484.0
463.0,31.0,365.0,897.0,439.0
800.0,157.0,642.0,28.0,406.75
373.0,715.0,342.0,27.0,364.25
207.0,406.0,12.0,357.0,245.5
309.0,242.0,833.0,613.0,499.25
295.0,50.0,557.0,700.0,400.5
190.0,831.0,230.0,615.0,466.5
891.0,479.0,522.0,494.0,596.5
38.0,301.0,607.0,687.0,408.25
584.0,757.0,485.0,835.0,665.25
862.0,890.0,159.0,118.0,507.25
136.0,656.0,16.0,607.0,353.75
160.0,51.0,51.0,434.0,174.0
558.0,387.0,449.0,178.0,393.0
432.0,411.0,931.0,938.0,678.0
528.0,316.0,303.0,302.0,362.25
685.0,996.0,619.0,918.0,804.5
764.0,326.0,99.0,726.0,478.75
731.0,464.0,233.0,62.0,372.5
438.0,867.0,85.0,419.0,452.25
43.0,330.0,32.0,152.0,139.25
95.0,118.0,654.0,459.0,331.5
86.0,923.0,798.0,516.0,580.75
546.0,574.0,503.0,640.0,565.75
871.0,891.0,549.0,170.0,620.25
63.0,175.0,596.0,115.0,237.25
14.0,673.0,308.0,830.0,456.25
735.0,702.0,167.0,63.0,416.75
49.0,735.0,197.0,447.0,357.0
668.0,20.0,89.0,100.0,219.25
447.0,346.0,527.0,415.0,433.75
678.0,458.0,417.0,103.0,414.0
283.0,428.0,152.0,232.0,273.75
491.0,210.0,988.0,685.0,593.5
588.0,257.0,676.0,914.0,608.75
769.0,557.0,765.0,103.0,548.5
991.0,689.0,24.0,726.0,607.5
82.0,955.0,476.0,165.0,419.5
305.0,346.0,466.0,720.0,459.25
68.0,479.0,185.0,877.0,402.25
677.0,509.0,498.0,840.0,631.0
127.0,222.0,563.0,712.0,406.0
182.0,162.0,996.0,51.0,347.75
964.0,360.0,725.0,819.0,717.0
856.0,952.0,373.0,600.0,695.25
208.0,345.0,455.0,681.0,422.25
875.0,846.0,438.0,375.0,633.5
478.0,608.0,931.0,223.0,560.0
811.0,245.0,155.0,351.0,390.5
48.0,991.0,495.0,230.0,441.0
