Genre,Artist
Electronic,Daft Punk
Electronic,Skrillex
Electronic,Zedd
Electronic,David Guetta
Electronic,Calvin Harris
Electronic,Marshmello
Electronic,Diplo
Electronic,Avicii
Electronic,The Chainsmokers
Rock,The Beatles
Rock,AC/DC
Rock,The Rolling Stones
Rock,Guns N' Roses
Rock,Red Hot Chili Peppers
Rock,Queen
Rock,Led Zeppelin
Rock,Pink Floyd
Rock,Aerosmith
Rock,Linkin Park
Rock,Nickelback
Rock,Imagine Dragons
Rock,Journey
Rock,Panic! At the Disco
Rock,The Who
Rock,Green Day
Rock,Bon Jovi
Rock,Bruce Springsteen
Rock,David Bowie
Rock,Foreigner
R&B,Beyonce
R&B,Stevie Wonder
R&B,Michael Jackson
R&B,Prince
R&B,Usher
R&B,Marvin Gaye
R&B,Aretha Franklin
R&B,James Brown
R&B,Mariah Carey
R&B,Rihanna
R&B,Chaka Khan
R&B,Alicia Keys
R&B,Janet Jackson
R&B,Tina Turner
R&B,Whitney Houston
R&B,Chris Brown
R&B,Diana Ross
R&B,R. Kelly
R&B,Frank Ocean
R&B,Lauryn Hill
Alternative,Coldplay
Alternative,Arctic Monkeys
Alternative,The 1975
Alternative,Paramore
Alternative,U2
Alternative,Foster the People
Alternative,twenty one pilots
Alternative,Hozier
Alternative,Neon Trees
Alternative,Mumford & Sons
Pop,Taylor Swift
Pop,Lady Gaga
Pop,Justin Bieber
Pop,Katy Perry
Pop,Madonna
Pop,Britney Spears
Pop,Maroon 5
Pop,Ariana Grande
Pop,Adele
Pop,Bruno Mars
Pop,Ed Sheeran
Pop,Selena Gomez
Pop,Miley Cyrus
Pop,Billie Eilish
Pop,Shawn Mendes
Pop,Camila Cabello
Pop,OneRepublic
Pop,Demi Lovato
Pop,One Direction
Pop,Halsey
Pop,Dua Lipa
Pop,Khalid
Pop,Charlie Puth
Pop,The Weeknd
Pop,Lizzo
Pop,Sia
Pop,Harry Styles
Rap,Drake
Rap,Kanye West
Rap,Eminem
Rap,Jay-Z
Rap,Lil Wayne
Rap,Nicki Minaj
Rap,Kendrick Lamar
Rap,Travis Scott
Rap,J. Cole
Rap,Future
Rap,Post Malone
Rap,Cardi B
Rap,Young Thug
Rap,Nas
Rap,Snoop Dogg
Rap,Tupac
Rap,50 Cent
Rap,Meek Mill
Rap,Chance the Rapper
Rap,Lil Uzi Vert
Rap,Juice Wrld
Rap,Biggie
Rap,Logic
Rap,"Tyler, the Creator"
